2024-07-05 13:05:29,314 - Anomaly detected! Packet info: {'duration': 1720164929.265635, 'protocol_type': 'udp', 'service': 5353, 'flag': 0, 'src_bytes': 69, 'dst_bytes': 103, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:35,695 - Anomaly detected! Packet info: {'duration': 1720164935.613477, 'protocol_type': 'other', 'service': 0, 'flag': 0, 'src_bytes': 12, 'dst_bytes': 50, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:35,785 - Anomaly detected! Packet info: {'duration': 1720164935.613477, 'protocol_type': 'other', 'service': 0, 'flag': 0, 'src_bytes': 12, 'dst_bytes': 50, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:35,859 - Anomaly detected! Packet info: {'duration': 1720164935.613477, 'protocol_type': 'other', 'service': 0, 'flag': 0, 'src_bytes': 12, 'dst_bytes': 50, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:36,688 - Normal packet. Packet info: {'duration': 1720164936.616546, 'protocol_type': 'tcp', 'service': 58199, 'flag': <Flag 2 (DF)>, 'src_bytes': 21, 'dst_bytes': 55, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:36,951 - Normal packet. Packet info: {'duration': 1720164936.861751, 'protocol_type': 'tcp', 'service': 443, 'flag': <Flag 2 (DF)>, 'src_bytes': 32, 'dst_bytes': 66, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:37,840 - Anomaly detected! Packet info: {'duration': 1720164937.761233, 'protocol_type': 'other', 'service': 0, 'flag': 0, 'src_bytes': 24, 'dst_bytes': 62, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:38,839 - Anomaly detected! Packet info: {'duration': 1720164938.760374, 'protocol_type': 'other', 'service': 0, 'flag': 0, 'src_bytes': 16, 'dst_bytes': 54, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:42,762 - Anomaly detected! Packet info: {'duration': 1720164942.679052, 'protocol_type': 'udp', 'service': 57655, 'flag': 0, 'src_bytes': 37, 'dst_bytes': 71, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:42,845 - Anomaly detected! Packet info: {'duration': 1720164942.698913, 'protocol_type': 'udp', 'service': 443, 'flag': 0, 'src_bytes': 33, 'dst_bytes': 67, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:43,043 - Anomaly detected! Packet info: {'duration': 1720164942.987654, 'protocol_type': 'udp', 'service': 443, 'flag': 0, 'src_bytes': 44, 'dst_bytes': 78, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:43,095 - Anomaly detected! Packet info: {'duration': 1720164942.987654, 'protocol_type': 'udp', 'service': 443, 'flag': 0, 'src_bytes': 309, 'dst_bytes': 343, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:43,151 - Anomaly detected! Packet info: {'duration': 1720164942.987654, 'protocol_type': 'udp', 'service': 443, 'flag': 0, 'src_bytes': 43, 'dst_bytes': 77, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:43,215 - Anomaly detected! Packet info: {'duration': 1720164942.987654, 'protocol_type': 'udp', 'service': 443, 'flag': 0, 'src_bytes': 78, 'dst_bytes': 112, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:43,293 - Anomaly detected! Packet info: {'duration': 1720164942.993052, 'protocol_type': 'udp', 'service': 57655, 'flag': 0, 'src_bytes': 41, 'dst_bytes': 75, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:43,354 - Anomaly detected! Packet info: {'duration': 1720164942.994439, 'protocol_type': 'udp', 'service': 57655, 'flag': 0, 'src_bytes': 275, 'dst_bytes': 309, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:43,413 - Anomaly detected! Packet info: {'duration': 1720164942.994922, 'protocol_type': 'udp', 'service': 57655, 'flag': 0, 'src_bytes': 273, 'dst_bytes': 307, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:43,478 - Anomaly detected! Packet info: {'duration': 1720164943.012401, 'protocol_type': 'udp', 'service': 443, 'flag': 0, 'src_bytes': 40, 'dst_bytes': 74, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:43,531 - Anomaly detected! Packet info: {'duration': 1720164943.026757, 'protocol_type': 'udp', 'service': 57655, 'flag': 0, 'src_bytes': 41, 'dst_bytes': 75, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:43,588 - Anomaly detected! Packet info: {'duration': 1720164943.284844, 'protocol_type': 'udp', 'service': 443, 'flag': 0, 'src_bytes': 77, 'dst_bytes': 111, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:44,376 - Anomaly detected! Packet info: {'duration': 1720164943.285076, 'protocol_type': 'udp', 'service': 443, 'flag': 0, 'src_bytes': 67, 'dst_bytes': 101, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:44,440 - Anomaly detected! Packet info: {'duration': 1720164943.285279, 'protocol_type': 'udp', 'service': 57655, 'flag': 0, 'src_bytes': 45, 'dst_bytes': 79, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:44,499 - Anomaly detected! Packet info: {'duration': 1720164943.293185, 'protocol_type': 'udp', 'service': 57655, 'flag': 0, 'src_bytes': 41, 'dst_bytes': 75, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:44,550 - Anomaly detected! Packet info: {'duration': 1720164943.302277, 'protocol_type': 'udp', 'service': 443, 'flag': 0, 'src_bytes': 33, 'dst_bytes': 67, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:44,613 - Anomaly detected! Packet info: {'duration': 1720164944.288193, 'protocol_type': 'udp', 'service': 443, 'flag': 0, 'src_bytes': 78, 'dst_bytes': 112, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:44,782 - Anomaly detected! Packet info: {'duration': 1720164944.288193, 'protocol_type': 'udp', 'service': 443, 'flag': 0, 'src_bytes': 67, 'dst_bytes': 101, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:44,855 - Anomaly detected! Packet info: {'duration': 1720164944.288193, 'protocol_type': 'udp', 'service': 443, 'flag': 0, 'src_bytes': 78, 'dst_bytes': 112, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:44,908 - Anomaly detected! Packet info: {'duration': 1720164944.288893, 'protocol_type': 'udp', 'service': 57655, 'flag': 0, 'src_bytes': 45, 'dst_bytes': 79, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:44,970 - Anomaly detected! Packet info: {'duration': 1720164944.28933, 'protocol_type': 'udp', 'service': 57655, 'flag': 0, 'src_bytes': 42, 'dst_bytes': 76, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:45,017 - Anomaly detected! Packet info: {'duration': 1720164944.308152, 'protocol_type': 'udp', 'service': 443, 'flag': 0, 'src_bytes': 33, 'dst_bytes': 67, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:45,090 - Normal packet. Packet info: {'duration': 1720164944.393733, 'protocol_type': 'tcp', 'service': 443, 'flag': <Flag 2 (DF)>, 'src_bytes': 44, 'dst_bytes': 78, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:45,155 - Normal packet. Packet info: {'duration': 1720164944.393946, 'protocol_type': 'tcp', 'service': 52041, 'flag': <Flag 2 (DF)>, 'src_bytes': 48, 'dst_bytes': 82, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:45,201 - Normal packet. Packet info: {'duration': 1720164944.410464, 'protocol_type': 'tcp', 'service': 443, 'flag': <Flag 2 (DF)>, 'src_bytes': 20, 'dst_bytes': 54, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:49,176 - Anomaly detected! Packet info: {'duration': 1720164949.130591, 'protocol_type': 'udp', 'service': 5353, 'flag': 0, 'src_bytes': 69, 'dst_bytes': 103, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:53,456 - Normal packet. Packet info: {'duration': 1720164953.409432, 'protocol_type': 'tcp', 'service': 52018, 'flag': <Flag 2 (DF)>, 'src_bytes': 515, 'dst_bytes': 549, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:53,510 - Normal packet. Packet info: {'duration': 1720164953.416303, 'protocol_type': 'tcp', 'service': 52018, 'flag': <Flag 2 (DF)>, 'src_bytes': 75, 'dst_bytes': 109, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:53,703 - Normal packet. Packet info: {'duration': 1720164953.50134, 'protocol_type': 'tcp', 'service': 5222, 'flag': <Flag 2 (DF)>, 'src_bytes': 20, 'dst_bytes': 54, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:53,758 - Normal packet. Packet info: {'duration': 1720164953.50134, 'protocol_type': 'tcp', 'service': 5222, 'flag': <Flag 2 (DF)>, 'src_bytes': 20, 'dst_bytes': 54, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:53,814 - Normal packet. Packet info: {'duration': 1720164953.624817, 'protocol_type': 'tcp', 'service': 5222, 'flag': <Flag 2 (DF)>, 'src_bytes': 81, 'dst_bytes': 115, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:53,994 - Normal packet. Packet info: {'duration': 1720164953.636005, 'protocol_type': 'tcp', 'service': 5222, 'flag': <Flag 2 (DF)>, 'src_bytes': 77, 'dst_bytes': 111, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:54,056 - Normal packet. Packet info: {'duration': 1720164953.636075, 'protocol_type': 'tcp', 'service': 52018, 'flag': <Flag 2 (DF)>, 'src_bytes': 20, 'dst_bytes': 54, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:54,109 - Normal packet. Packet info: {'duration': 1720164953.936628, 'protocol_type': 'tcp', 'service': 5222, 'flag': <Flag 2 (DF)>, 'src_bytes': 88, 'dst_bytes': 122, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:55,756 - Normal packet. Packet info: {'duration': 1720164953.946125, 'protocol_type': 'tcp', 'service': 52018, 'flag': <Flag 2 (DF)>, 'src_bytes': 82, 'dst_bytes': 116, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:55,838 - Normal packet. Packet info: {'duration': 1720164953.969464, 'protocol_type': 'tcp', 'service': 5222, 'flag': <Flag 2 (DF)>, 'src_bytes': 20, 'dst_bytes': 54, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:55,910 - Anomaly detected! Packet info: {'duration': 1720164955.683537, 'protocol_type': 'other', 'service': 0, 'flag': 0, 'src_bytes': 12, 'dst_bytes': 50, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:55,982 - Anomaly detected! Packet info: {'duration': 1720164955.684991, 'protocol_type': 'other', 'service': 0, 'flag': 0, 'src_bytes': 12, 'dst_bytes': 50, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:56,038 - Anomaly detected! Packet info: {'duration': 1720164955.685495, 'protocol_type': 'other', 'service': 0, 'flag': 0, 'src_bytes': 12, 'dst_bytes': 50, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:56,338 - Anomaly detected! Packet info: {'duration': 1720164956.252017, 'protocol_type': 'other', 'service': 0, 'flag': 0, 'src_bytes': 16, 'dst_bytes': 54, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
